business_name,county,city,website,email,phone,observed_problem_evidence,niche,experiment_arm,qualification_status,contact_status,source,date_added
"Spokane Junk Pros","Spokane","Spokane","https://spokanejunkpros.com/","","(509) 236-8749","Local junk hauler emphasizes same-day slots and phone contact; no public email surfaced in indexed page, creating missed-call/lead-recovery opportunity.","junk removal/dumpster rental","STAN","QUALIFIED","NOT_CONTACTED","Public business website","2026-09-19"
"Muvit Junk Removal","Spokane","Spokane","https://www.muvitjunkremoval.com/","","(509) 828-0995","Locally owned operator has online booking plus phone but no public email surfaced; opportunity is automated recovery of quote/booking abandonment and follow-up.","junk removal/dumpster rental","CUSTOMER_SERVICE","QUALIFIED","NOT_CONTACTED","Public business website","2026-09-19"
"Spokane Junk Butler","Spokane","Spokane","https://spokanejunkbutler.com/","","(509) 800-7365","Quote process explicitly asks prospects to text photos for an instant quote; no public email surfaced, creating a concrete quote-follow-up automation opportunity.","junk removal/dumpster rental","BRIDGE","QUALIFIED","NOT_CONTACTED","Public business website","2026-09-19"
"Jim's U Call I Haul","Spokane","Spokane","https://www.jimshaulingspokane.com/","","1-509-536-0514","Local hauling site is strongly call-first and no public email surfaced; missed-call and automated estimate follow-up are observable opportunities.","junk removal/dumpster rental","STAN","QUALIFIED","NOT_CONTACTED","Public business website","2026-09-19"
"NW Softwash & Roof Cleaning","Clark","Vancouver","","","+1 360-559-1381","Independent exterior-cleaning company; structured listing surfaced phone but no public email/website or online-estimate tag, leaving quote-flow opportunity.","pressure washing/exterior cleaning","CUSTOMER_SERVICE","QUALIFIED","NOT_CONTACTED","Google business listing via ChatGPT web business search","2026-09-19"
"Experienced Roof & Gutter Cleaning - Tacoma","Pierce","Tacoma","","","+1 206-895-0730","Family-owned exterior-maintenance provider; structured listing surfaced phone and online estimates but no public email/website, leaving follow-up opportunity.","pressure washing/exterior cleaning","BRIDGE","QUALIFIED","NOT_CONTACTED","Google business listing via ChatGPT web business search","2026-09-19"
"Northwest Power Wash LLC","Yakima","Yakima","","","+1 509-406-4310","Local exterior-cleaning operator; structured listing surfaced phone and online estimates but no public email/website, creating estimate follow-up opportunity.","pressure washing/exterior cleaning","STAN","QUALIFIED","NOT_CONTACTED","Google business listing via ChatGPT web business search","2026-09-19"
"Extreme Clean Spokane","Spokane","Spokane","https://www.extremecleanspokane.com/","","","Exterior-cleaning website relies on free-estimate CTA and no public email or phone was surfaced in the indexed page, creating lead-capture and automated follow-up opportunity.","pressure washing/exterior cleaning","CUSTOMER_SERVICE","QUALIFIED","NOT_CONTACTED","Public business website","2026-09-19"
"Save Your Glass LLC","Spokane","Spokane Valley","","","(509) 701-3064","Family-owned exterior-cleaning company; trade-directory listing exposes owner contacts and phone but no public email, leaving direct-response lead-capture opportunity.","pressure washing/exterior cleaning","BRIDGE","QUALIFIED","NOT_CONTACTED","Washington Multi-Family Housing Association public supplier directory","2026-09-19"
"A1 Tree Service - Pruning Trimming Removal","Spokane","Spokane Valley","","","+1 509-818-4020","Owner-operated local tree/stump company; structured listing surfaced phone and online estimates but no public email/website, leaving estimate follow-up opportunity.","tree service/stump grinding","STAN","QUALIFIED","NOT_CONTACTED","Google business listing via ChatGPT web business search","2026-09-19"
"M&R Tree Services","Clark","Vancouver","","","+1 503-724-1851","Vancouver tree-care company; structured listing surfaced phone but no public email/website, creating direct-response lead-capture opportunity.","tree service/stump grinding","CUSTOMER_SERVICE","QUALIFIED","NOT_CONTACTED","Google business listing via ChatGPT web business search","2026-09-19"
"Apex Tree Experts - Tacoma","Pierce","Tacoma","","","+1 253-227-9775","Family-owned tree company; structured listing surfaced phone but no public email/website and requires appointment, leaving lead follow-up opportunity.","tree service/stump grinding","BRIDGE","QUALIFIED","NOT_CONTACTED","Google business listing via ChatGPT web business search","2026-09-19"
"Spokane Tree Pros","Spokane","Spokane","https://spokanetreepros.com/","","(509) 632-4080","Local booking/dispatch operation is explicitly call/text-to-schedule; no public email surfaced, creating missed-call and estimate follow-up opportunity.","tree service/stump grinding","STAN","QUALIFIED","NOT_CONTACTED","Public business website","2026-09-19"
"Palms Tree Service & Landscaping","Spokane","Spokane","https://www.palmstreeservice.com/","","509-939-0460","Local tree service website centers free quotes on phone contact and no public email surfaced, creating missed-call/quote follow-up opportunity.","tree service/stump grinding","CUSTOMER_SERVICE","QUALIFIED","NOT_CONTACTED","Public business website","2026-09-19"
"Budget Arbor & Logging LLC","Spokane","Spokane Valley","https://budgetarbor.com/","info@budget-arbor.com","(509) 458-0838","Locally owned tree company exposes public email and free onsite estimate CTA; opportunity is automated estimate nurturing and follow-up.","tree service/stump grinding","BRIDGE","QUALIFIED","EMAIL_SENT","Public business website","2026-09-19"
"Curtis Point Tree Service","Spokane","Spokane","https://curtispointtree.com/","","509-565-8403","Locally owned tree company uses a form/phone workflow for free estimates; no public email surfaced, creating form and estimate follow-up opportunity.","tree service/stump grinding","STAN","QUALIFIED","NOT_CONTACTED","Public business website","2026-09-19"
"Trailhead Tree Service","Spokane","Spokane","https://www.trailheadtreeservice.com/","","","Local Spokane tree service describes consultation-based job scoping; indexed page surfaced no direct email/phone, indicating a lead-capture friction opportunity.","tree service/stump grinding","CUSTOMER_SERVICE","QUALIFIED","NOT_CONTACTED","Public business website","2026-09-19"
"Aardvark Tree Service","Spokane","Spokane","https://www.aardvarktree.com/","","(509) 891-7650","Local family-owned tree/stump company directs prospects to call for free consultation; no public email address surfaced, creating missed-call/follow-up opportunity.","tree service/stump grinding","BRIDGE","QUALIFIED","NOT_CONTACTED","Public business website","2026-09-19"
"Garage Gecko","Spokane","Spokane","","","+1 509-236-0229","Locally owned family-operated garage-door provider; structured listing surfaced phone but no public email/website, creating direct-response acquisition opportunity.","independent garage-door repair/installation","STAN","QUALIFIED","NOT_CONTACTED","Google business listing via ChatGPT web business search","2026-09-19"
"Independent Garage Doors","Pierce","Tacoma","","","+1 253-592-3240","Owner-operator garage-door company; structured listing surfaced phone and online estimates but no public email/website, leaving estimate follow-up opportunity.","independent garage-door repair/installation","CUSTOMER_SERVICE","QUALIFIED","NOT_CONTACTED","Google business listing via ChatGPT web business search","2026-09-19"
"Elite Overhead Doors LLC","Yakima","Yakima","","","+1 509-571-1385","Locally owned garage-door provider; structured listing explicitly reports no online estimates, creating a concrete quote-flow opportunity.","independent garage-door repair/installation","BRIDGE","QUALIFIED","NOT_CONTACTED","Google business listing via ChatGPT web business search","2026-09-19"
