business_name,county,city,website,email,phone,observed_problem_evidence,niche,experiment_arm,qualification_status,contact_status,source,date_added
"Power Pros Auto Detail","Pierce","Edgewood","","","+1 619-607-1776","Pierce County detailing company provides mobile and shop service by appointment; appointment capture and follow-up are observable conversion opportunities.","mobile/independent auto detailing","STAN","QUALIFIED","NOT_CONTACTED","Google business listing via ChatGPT web business search","2026-09-19"
"MK Services - Mobile Auto Detailing Spokane & Ceramic Coating","Spokane","Spokane","","","+1 509-979-4848","Family-owned mobile detailer led by its owner; mobile scheduling and direct phone contact create booking and follow-up automation opportunities.","mobile/independent auto detailing","CUSTOMER_SERVICE","QUALIFIED","NOT_CONTACTED","Google business listing via ChatGPT web business search","2026-09-19"
"Legend Junk Removal","Spokane","Spokane","","","+1 509-300-3384","Locally owned junk-removal company advertises same-day service and direct booking; rapid lead response and quote follow-up are concrete conversion opportunities.","junk removal/dumpster rental","BRIDGE","QUALIFIED","NOT_CONTACTED","Google business listing via ChatGPT web business search","2026-09-19"
"Grace Pressure Washing","Spokane","Spokane","","","+1 509-850-7828","Locally owned family-run exterior cleaner offers online estimates and requires appointments, creating estimate nurture and appointment follow-up opportunities.","pressure washing/exterior cleaning","STAN","QUALIFIED","NOT_CONTACTED","Google business listing via ChatGPT web business search","2026-09-19"
"Advanced Arborists Tree Service","Spokane","Spokane Valley","","","+1 509-999-8603","Owner-operated Spokane tree-care company; public listing centers on project bids and direct phone contact, making bid follow-up and lead recovery commercially relevant.","tree service/stump grinding","CUSTOMER_SERVICE","QUALIFIED","NOT_CONTACTED","Google business listing via ChatGPT web business search","2026-09-19"
"Garage Gecko","Spokane","Spokane","","","+1 509-236-0229","Locally owned family-operated garage-door repair and installation company with 24-hour availability; missed-call recovery and urgent-service booking are concrete conversion opportunities.","independent garage-door repair/installation","BRIDGE","QUALIFIED","NOT_CONTACTED","Google business listing via ChatGPT web business search","2026-09-19"
"Spokane Detailing Master","Spokane","Spokane Valley","","","+1 253-303-2294","Owner-operated mobile detailer explicitly states it is ready for more customers and operates by appointment, creating a direct booking and follow-up opportunity.","mobile/independent auto detailing","STAN","QUALIFIED","NOT_CONTACTED","Google business listing via ChatGPT web business search","2026-09-19"
"Junk Slayers LLC","Spokane","Spokane","","","+1 509-230-3687","Locally owned Spokane junk-removal and light-demolition operator with direct phone contact; quote capture and follow-up are relevant for high-intent hauling leads.","junk removal/dumpster rental","CUSTOMER_SERVICE","QUALIFIED","NOT_CONTACTED","Google business listing via ChatGPT web business search","2026-09-19"
"Serene Window & Pressure Cleaning","Spokane","Spokane Valley","","","+1 509-608-9834","Spokane Valley exterior cleaner offers online estimates and appointment-required service, creating an explicit estimate-to-booking nurture opportunity.","pressure washing/exterior cleaning","BRIDGE","QUALIFIED","NOT_CONTACTED","Google business listing via ChatGPT web business search","2026-09-19"
"Sam's Tree & Landscape, LLC","Spokane","Spokane","","","+1 509-467-3801","Family-involved local tree and stump service; public listing references presenting bids and direct customer communication, creating bid follow-up and lead-nurture opportunity.","tree service/stump grinding","STAN","QUALIFIED","NOT_CONTACTED","Google business listing via ChatGPT web business search","2026-09-19"
